AppNumber,Applicant Type,First Name,Middle Name,Last Name,Name Suffix,Institution,Full Address,City,State,Postal Code,Country,Council Date,Year Awarded,Project Title,Category,Program,Division,Approved Outright,Approved Matching,Award Outright,Award Matching,Original Amount,Begin Grant,End Grant,Project Description,To Support Statement,Supplement Amount,Supplement Count,Supplementary Fields need work (may repeat?)
GM-0322-78,O,George,R.,Adams,,American Association for State and Local History,Nashville TN 37203,Nashville,TN,37203,USA,1977-11,1978,Independent Study Program for the Training of Historical Agency Personnel,Humanities,"Museums and Historical Organizations, Humanities Projects in",Public Programs,"$55,000.00",$0.00,"$55,000.00",$0.00,"$55,000.00",1/1/78,6/30/80,,,,0,-
GP-0031-79,O,George,R.,Adams,,American Association for State and Local History,Nashville TN 37203,Nashville,TN,37203,USA,1978-11,1979,Independent Study Program,Humanities,Special Projects,Public Programs,"$215,750.00",$0.00,"$215,750.00",$0.00,"$215,750.00",1/1/79,9/30/82,,To develop an independent study program on humanities interpretation for museum and historical society personnel.,,0,-
RX-1611-78,O,James,L.,Adams,,American Academy of Arts and Sciences,Cambridge MA 2138,Cambridge,MA,2138,USA,1978-08,1978,Paul Tillich and American Thought,Humanities,Conferences,Research Programs,"$19,427.00",$0.00,"$19,427.00",$0.00,"$19,427.00",9/1/78,8/31/80,,,,0,-
RT-0849-77,O,Thomas,R.,Adams,,Brown University,Providence RI 2912,Providence,RI,2912,USA,1977-05,1977,"A Chronological Guide to Writings on the Americas Published in Europe, 1493-1800",Humanities,Reference Materials - Tools,Preservation and Access,"$231,623.00",$0.00,"$231,623.00",$0.00,"$231,623.00",6/1/77,1/31/81,,,,0,-
RT-0556-78,O,Thomas,R.,Adams,,Brown University,Providence RI 2912,Providence,RI,2912,USA,1978-02,1978,Operational Test Project for Eighteenth Century Short-TitleCataloge of English Books,Humanities,Reference Materials - Tools,Preservation and Access,"$64,518.00",$0.00,"$64,518.00",$0.00,"$64,518.00",2/1/78,11/30/79,,,,0,-
EP-1324-77,O,Clifford,,Adelman,,William Paterson University,Wayne NJ 7470,Wayne,NJ,7470,USA,1977-08,1977,Life Science Ethics,Humanities,Pilot Grants - Education,Education Programs,"$45,934.71",$0.00,"$45,934.71",$0.00,"$45,934.71",1/1/78,8/31/79,,,,0,-
EC-1423-79,O,Jane,M.,Adelsberger,,Avila College,Kansas City MO 64145,Kansas City,MO,64145,USA,1979-08,1979,Consultant Grant,Humanities,Education Consultant Grants,Education Programs,"$5,305.00",$0.00,"$2,557.41",$0.00,"$2,557.41",8/1/79,6/30/81,,Consultant help is sought to redress the problem of declining humanities requirements and to bring order and coherence to humanities choices; also to advise an appropiate courses for increasing numbers of non-traditional students,,0,-
RE-0310-77,O,Ralph,M.,Aderman,,"University of Wisconsin, Milwaukee",Milwaukee WI 53211,Milwaukee,WI,53211,USA,1976-05,1977,"THE COMPLETE WRITINGS OF WASHINGTON IRVING, 27 VOLUMES",Humanities,Editions,Research Programs,"$55,619.40",$0.00,"$55,619.40",$0.00,"$55,619.40",4/1/77,6/15/79,,,,0,-
RS-0495-78,O,Richard,,Adicks,,"University of Central Florida, Melbourne",Melbourne FL 32901,Melbourne,FL,32901,USA,1978-02,1978,"A HISTORY OF OVIEDO, FLORIDA",Humanities,State and Local and Regional Studies,Research Programs,"$19,625.88",$0.00,"$19,625.88",$0.00,"$19,625.88",4/1/78,3/15/79,,,,0,-
FS-0125-79,O,Charles,M.,Affron,,New York University,New York NY 10012,New York,NY,10012,USA,1978-11,1979,"Seminar: ""Cinema and the Affective Response""",Art History and Criticism,Seminars for College Teachers,Education Programs,"$46,549.50",$0.00,"$46,549.50",$0.00,"$46,549.50",1/1/79,12/31/79,,,,0,-
GM-1056-79,O,Herman,,Agoyo,,All Indian Pueblo Council,Albuquerque NM 87197,Albuquerque,NM,87197,USA,1979-05,1979,Commemoration -Tricentennial 1680 Indian Pueblo Revolt,Humanities,"Museums and Historical Organizations, Humanities Projects in",Public Programs,"$35,372.00",$0.00,"$35,372.00",$0.00,"$35,372.00",6/1/79,2/29/80,,To design a travelling interpretive program around the central theme of the 1680 Indian Pueblo Revolt.,,0,-
EC-1124-79,O,Robert,A.,Aitkenh,,Brevard Community College,Cocoa FL 32922,Cocoa,FL,32922,USA,1979-02,1979,Consultant Grant,"Interdisciplinary Studies, General; Humanities",Education Consultant Grants,Education Programs,"$3,122.79",$0.00,"$3,122.79",$0.00,"$3,122.79",4/1/79,3/31/80,,Consultant help is sought in developing a team-teaching approach to a new 2- semester interdisciplinary humanities course developed by the Communications and Fine Arts Departments.,,0,-
ED-0548-78,O,Adrian,,Akmajian,,University of Arizona,Tucson AZ 85721,Tucson,AZ,85721,USA,1978-02,1978,NATIVE AMERICAN LANGUAGES AND LINGUISTIC S,Humanities,Education Development and Demonstration,Education Programs,"$191,472.00",$0.00,"$191,389.00",$0.00,"$191,389.00",7/1/78,6/30/81,,,,0,-
GN-1434-78,O,Mildred,F.,Alberg,,"Milberg Theatrical Productions, Inc.",East Norwalk CT 6855,East Norwalk,CT,6855,USA,1978-08,1978,First Film Report: The Royal Archives of Elba,Humanities,"Media, Humanities Projects in",Public Programs,"$131,000.00",$0.00,"$131,000.00",$0.00,"$131,000.00",9/1/78,2/28/81,,,,0,-
GZ-1436-79,O,Maria,,Alberro,,School of Art Institute of Chicago,Chicago IL 60603,Chicago,IL,60603,USA,1979-05,1979,Hispanic Youth Study of Cultural Heritage,Humanities,Humanities Projects for Youth,Public Programs,"$6,000.00",$0.00,"$6,000.00",$0.00,"$6,000.00",10/1/79,9/30/80,,"To involve Hispanic youths in a participatory oral history, photography program designed to define and strengthen their identity within a bicultural environment.",,0,-
SO-0612-78,O,Everett,C.,Albers,,North Dakota Humanities Council,Bismarck ND 58501,Bismarck,ND,58501,USA,1977-05,1978,Administrative Grant,Humanities,State Programs (SO),Federal/State Partnership,"$54,000.00",$0.00,"$54,000.00",$0.00,"$54,000.00",5/13/77,6/30/79,,,,0,-
EC-0764-78,O,Larry,J.,Aldernick,,"Concordia College, Moorhead",Moorhead MN 56562,Moorhead,MN,56562,USA,1978-02,1978,Consultant Grant,Humanities,Education Consultant Grants,Education Programs,"$1,103.38",$0.00,"$1,103.38",$0.00,"$1,103.38",3/10/78,2/28/79,,,,0,-
RS-1051-76,O,William,T.,Alderson,,American Association for State and Local History,Nashville TN 37203,Nashville,TN,37203,USA,1976-08,1976,A History of Puerto Rico,Humanities,State and Local and Regional Studies,Research Programs,"$25,000.00",$0.00,"$25,000.00",$0.00,"$25,000.00",10/1/76,6/30/82,,,,0,-
CE-1005-78,O,Alexandra,Q.,Aldridge,,Bryn Mawr College,Bryn Mawr PA 19010,Bryn Mawr,PA,19010,USA,1978-05,1979,Challenge Grant,Humanities,Education Challenge Grants,Challenge Grants,$0.00,"$600,000.00",$0.00,"$600,000.00","$600,000.00",10/1/78,6/30/82,,,,0,-
EI-0764-76,O,June,M.,Aldridge,,Spelman College,Atlanta GA 30314,Atlanta,GA,30314,USA,1976-05,1976,Interdisciplinary Approach to a Study of Human Values,Humanities,Institutional Development,Education Programs,"$126,882.00",$0.00,"$126,882.00",$0.00,"$126,882.00",1/1/77,6/30/80,,,,0,-
EH-1081-78,O,Ricardo,,Alegria,,Center for Advanced Study of Puerto Rico,San Juan PR 901,San Juan,PR,901,USA,1978-05,1978,LAS ARTISANIAS DE PUERTO RICO,Latin American History; Folklore and Folklife,Institutes for College and University Teachers,Education Programs,"$115,639.00",$0.00,"$115,229.87",$0.00,"$115,229.87",7/1/78,8/31/81,,"To prepare 5 films on the native arts and crafts of Puerto Rico for use as a curriculum resource in schools, cultural centers, museums and community education centers. Proj. Director",,0,-
GM-0226-79,O,Brian,A.,Alexander,,Fairfax County Park Authority,Annandale VA 22003,Annandale,VA,22003,USA,1978-11,1979,Sully Plantation Exhibit,Humanities,"Museums and Historical Organizations, Humanities Projects in",Public Programs,"$46,311.22",$0.00,"$46,311.22",$0.00,"$46,311.22",1/1/79,7/31/79,,"To develop an exhibit depicting the history of Sully Plantation and its residents as they related to the growth of Fairfax County, Virginia.",,0,-
RC-0807-78,O,Carol,,Alexander,,American Antiquarian Society,Worcester MA 1609,Worcester,MA,1609,USA,1978-02,1978,Catalog of American Printed Broadsides,Humanities,Reference Materials - Access,Preservation and Access,"$119,520.00",$0.00,"$119,128.78",$0.00,"$119,128.78",10/1/78,4/30/82,,,,0,-
GN-1150-78,O,S.M.,,Alexander,,KLRU-TV,Austin TX 78713,Austin,TX,78713,USA,1978-05,1978,Preparation of an Outline for a TV Serie s on Ancient/Medieval Art History,Humanities,"Media, Humanities Projects in",Public Programs,"$25,000.00",$0.00,"$8,977.24",$0.00,"$8,977.24",8/1/78,12/31/80,,,,0,-
EC-0784-78,O,D. Mowbray,,Allan,,Quincy University,Quincy IL 62301,Quincy,IL,62301,USA,1978-02,1978,Consultant Grant,Humanities,Education Consultant Grants,Education Programs,"$5,103.72",$0.00,"$5,103.72",$0.00,"$5,103.72",3/11/78,12/31/79,,,,0,-
GY-0316-77,O,Terry,L.,Allebaugh,,Berea College,Berea KY 40404,Berea,KY,40404,USA,1977-02,1977,ORAL HISTORY OF DISPUTANTA,Humanities,Younger Scholars - 02/76 thru 02/85,Public Programs,"$4,702.00",$0.00,"$4,702.00",$0.00,"$4,702.00",5/1/77,3/31/79,,,,0,-
GP-0757-78,O,Kerry,K.,Allen,,Volunteer: National Center for Citizen Involvement,Washington DC 20036,Washington,DC,20036,USA,1978-02,1978,Volunteers in the Public Humanities,Humanities,Special Projects,Public Programs,"$100,000.00",$0.00,"$100,000.00",$0.00,"$100,000.00",4/1/78,9/30/79,,,,0,-
EC-1012-79,O,Philip,M.,Allen,,Johnson State College,Johnson VT 5656,Johnson,VT,5656,USA,1979-02,1979,Consultant Grant,"Interdisciplinary Studies, General; Humanities",Education Consultant Grants,Education Programs,"$3,785.12",$0.00,"$3,785.12",$0.00,"$3,785.12",4/1/79,4/30/80,,Developing an interdisciplinary core humanities program for arts students,,0,-
RT-0805-78,O,Robert,R.,Allen,,University of Southern California,Los Angeles CA 90089,Los Angeles,CA,90089,USA,1978-05,1978,The Eighteenth Century: A Current Bibliography,Humanities,Reference Materials - Tools,Preservation and Access,"$87,176.00",$0.00,"$87,176.00",$0.00,"$87,176.00",7/1/78,6/30/81,,,,0,-
FT-0001-79,I,William,S.,Allen,,Unknown,,,,,,1979-02,1979,"Fellowship, European History",Humanities,Summer Stipends,Research Programs,"$2,500.00",$0.00,"$2,500.00",$0.00,"$2,500.00",5/1/79,9/30/79,,,,0,-
ES-1262-79,O,Jim,,Allison,,Jefferson County Public Schools,Lakewood CO 80215,Lakewood,CO,80215,USA,1979-08,1979,Hispanic Cultures Of The Southwest,"Hispanic American Studies; Interdisciplinary Studies, General",Institutes for School Teachers,Education Programs,"$97,020.00",$0.00,"$97,020.00",$0.00,"$97,020.00",11/1/79,1/31/82,,"Supports the development of interdisciplinary, team-taught high school curriculum model, involving the departments of Social Studies, Foreign Languages, Art, and Arts in Education, on the Hispanic cultures of the AmericanSouthwest.",,0,-
RC-0369-77,O,Robert,W.,Allison,,University of Chicago,Chicago IL 60637,Chicago,IL,60637,USA,1977-02,1977,MOUNT ATHOS GREEK MANUSCRIPTS CATALOGUE PROJECT,Humanities,Reference Materials - Access,Preservation and Access,"$43,131.00",$0.00,"$43,131.00",$0.00,"$43,131.00",6/1/77,7/31/80,,,,0,-
RC-1209-79,O,Robert,W.,Allison,,University of Chicago,Chicago IL 60637,Chicago,IL,60637,USA,1979-08,1979,Mount Athos Greek Manuscripts Catalogue Project,Humanities,Reference Materials - Access,Preservation and Access,"$25,129.00",$0.00,"$25,129.00",$0.00,"$25,129.00",8/1/79,7/31/80,,To support the preparation of a manual for the description and cataloging of Greek manuscripts and monastic manuscript libraries on Mount Athos.,,0,-
GM-0216-79,O,Virginia,S.,Allison,,"Cultural Education Collaborative, Inc.",Springfield MA 1103,Springfield,MA,1103,USA,1978-11,1979,"The First Golden Era of Springfield Massachusetts, 1865-1915","History, General","Museums and Historical Organizations, Humanities Projects in",Public Programs,"$9,900.00",$0.00,"$9,900.00",$0.00,"$9,900.00",1/1/79,2/29/80,,A project to present the past history of Springfield to its citizens of today.,,0,-
FS-0184-79,O,William,P.,Alston,,"University of Illinois, Urbana-Champaign",Champaign IL 61820,Champaign,IL,61820,USA,1978-11,1979,"Seminar ""Talk about God""",Humanities,Seminars for College Teachers,Education Programs,"$53,046.49",$0.00,"$53,046.49",$0.00,"$53,046.49",1/1/79,11/1/79,,,,0,-
FB-0001-79,I,Janet,G.,Altman,,Unknown,,,,,,1978-11,1979,"Fellowship, French",Humanities,Fellowships for College Teachers and Independent Scholars,Research Programs,"$20,000.00",$0.00,"$20,000.00",$0.00,"$20,000.00",6/1/79,5/31/80,,,,0,-
FT-0002-79,I,Peter,H.,Amann,,Unknown,,,,,,1979-02,1979,"Fellowship, American History",Humanities,Summer Stipends,Research Programs,"$2,500.00",$0.00,"$2,500.00",$0.00,"$2,500.00",5/1/79,9/30/79,,,,0,-
CR-1006-78,O,Mario,A.,Amaya,,Chrysler Museum at Norfolk,Norfolk VA 23510,Norfolk,VA,23510,USA,1978-05,1979,Challenge Grant,Humanities,Research Challenge Grants,Challenge Grants,$0.00,"$45,000.00",$0.00,"$45,000.00","$45,000.00",10/1/77,6/30/82,,,,0,-
GN-0894-77,O,Michael,J.,Ambrosino,,"Public Broadcasting Associates, Inc.",Boston MA 2135,Boston,MA,2135,USA,1977-05,1977,Odyssey,Humanities,"Media, Humanities Projects in",Public Programs,"$1,300,000.00","$100,000.00","$1,300,000.00","$100,000.00","$1,400,000.00",10/1/77,9/30/80,,,,0,-
FT-0003-79,I,Kathryn,,Amdur,,Unknown,,,,,,1979-02,1979,"Fellowship, European History",Humanities,Summer Stipends,Research Programs,"$2,500.00",$0.00,"$2,500.00",$0.00,"$2,500.00",5/1/79,9/30/79,,,,0,-
RP-1185-79,O,Michael,,Ames,,Temple University Press,Philadelphia PA 19122,Philadelphia,PA,19122,USA,1979-08,1979,"Publication of ""Pioneer Urbanities"", by D. Daniels",Humanities,Scholarly Publications,Research Programs,"$4,000.00",$0.00,"$4,000.00",$0.00,"$4,000.00",9/1/79,8/31/80,,Supports publication of a study by Douglas Daniels of the history and culture of black settlers in San Francisco.,,0,-
RE-1211-78,O,Charles,,Amirkhanian,,Frederic Burk Foundation for Education,San Francisco CA 94132,San Francisco,CA,94132,USA,1978-05,1978,Editing the Selected Letters of Composer George Antheil,Humanities,Editions,Research Programs,"$24,979.00",$0.00,"$24,979.00",$0.00,"$24,979.00",9/1/78,3/31/80,,,,0,-
GY-0885-77,I,Marti,F.,Ammar,,Unknown,,,,,,1977-08,1977,"An Oral History of the Lebanese Immigran ts from Judaidah, Marjayoun",Humanities,Younger Scholars - 02/76 thru 02/85,Public Programs,"$5,719.00",$0.00,"$5,719.00",$0.00,"$5,719.00",10/17/77,3/31/79,,,,0,-
FT-0004-79,I,Elizabeth,M.,Ammons,,Unknown,,,,,,1979-02,1979,"Fellowship, American Literature",Humanities,Summer Stipends,Research Programs,"$2,500.00",$0.00,"$2,500.00",$0.00,"$2,500.00",5/1/79,9/30/79,,,,0,-
SO-0454-78,O,Betty,,Anderson,,Humanities Texas,Austin TX 78701,Austin,TX,78701,USA,1978-02,1978,Texas State Program in the Humanities,Humanities,State Programs (SO),Federal/State Partnership,"$1,200,962.00","$200,991.18","$1,200,836.90","$200,991.18","$1,401,828.08",6/1/78,5/31/81,,The grant supports the statewide humanities program. The state organization funds humanities projects that are designed by and responsive to the interests of the state's citizens.,,0,-
ES-0571-76,O,Duane,,Anderson,,University of Iowa,Iowa City IA 52242,Iowa City,IA,52242,USA,1976-02,1976,IOWA'S P.A.S.T. (PROGRAMMING ARCHAEOLOGY FOR SCHOOL TEACHERS),Humanities,Institutes for School Teachers,Education Programs,"$78,044.58",$0.00,"$78,044.58",$0.00,"$78,044.58",9/1/76,2/28/80,,,,0,-
FR-0001-79,I,Edward,,Anderson,,Unknown,,,,,,1978-11,1979,"Fellowship, English",Humanities,Residential College Teacher - 1976 thru 1981,Research Programs,"$18,185.00",$0.00,"$18,185.00",$0.00,"$18,185.00",8/29/79,8/28/80,,,,0,-
GM-0875-79,O,Jay,A.,Anderson,,Living History Farms,Des Moines IA 50332,Des Moines,IA,50332,USA,1979-05,1979,Farm of Today and Tomorrow Agricultural Exposition,"History, General","Museums and Historical Organizations, Humanities Projects in",Public Programs,"$15,844.00",$0.00,"$15,844.00",$0.00,"$15,844.00",7/1/79,6/30/80,,To plan an agricultural exposition dealing with the future of farming and rural life in the Midwest.,,0,-
EL-0125-77,O,Joann,R.,Anderson,,CUNY Research Foundation,New York NY 10036,New York,NY,10036,USA,1979-03,1977,THE ARTIST AND THE CITY: A UNIVERSITY - COMMUNITY FORUM,Humanities,Education Development & Demonstration (OLD),Education Programs,"$17,460.00",$0.00,"$17,460.00",$0.00,"$17,460.00",1/1/77,3/31/79,,,,0,-
EC-1422-79,O,Joseph,L.,Anderson,,Lansing Community College,Lansing MI 48933,Lansing,MI,48933,USA,1979-05,1979,Consultant Grant,"Western Civilization; Interdisciplinary Studies, General",Education Consultant Grants,Education Programs,"$4,317.58",$0.00,"$4,317.58",$0.00,"$4,317.58",6/1/79,11/30/80,,Evaluating Interdisciplinary Western Civilization Core Curriculum.,,0,-
FT-0005-79,I,Judith,H.,Anderson,,Unknown,,,,,,1979-02,1979,"Fellowship, English Literature",Humanities,Summer Stipends,Research Programs,"$2,500.00",$0.00,"$2,500.00",$0.00,"$2,500.00",5/1/79,9/30/79,,,,0,-
FR-0002-79,I,Nina,L.,Anderson,,Unknown,,,,,,1978-11,1979,"Fellowship, English",Humanities,Residential College Teacher - 1976 thru 1981,Research Programs,"$16,500.00",$0.00,"$16,500.00",$0.00,"$16,500.00",8/26/79,8/25/80,,,,0,-
RC-0624-78,O,William,L.,Anderson,,Western Carolina University,Cullowhee NC 28723,Cullowhee,NC,28723,USA,1978-02,1978,COLLECTION AND PRESERVATION OF CHEROKEE HISTORICAL MATERIALS IN FOREIGN ARCHIVES,Humanities,Reference Materials - Access,Preservation and Access,"$46,601.09",$0.00,"$46,601.09",$0.00,"$46,601.09",6/1/78,5/31/80,,,,0,-
RO-1079-79,O,Stephen,,Andors,,Bard College,Annandale-on-Hudson NY 12571,Annandale-on-Hudson,NY,12571,USA,1979-05,1979,Rural-Urban Development in a North China County,"History, General",Basic Research,Research Programs,"$18,100.00",$0.00,"$18,100.00",$0.00,"$18,100.00",6/1/79,6/30/80,,To research problems in the coordination of rural and urban development planning in a single north China county.,,0,-
FS-0006-78,O,Dudley,,Andrew,,University of Iowa,Iowa City IA 52242,Iowa City,IA,52242,USA,1977-08,1978,The Narrativity of Cinema,Humanities,Seminars for College Teachers,Education Programs,"$44,852.26",$0.00,"$44,852.26",$0.00,"$44,852.26",1/1/78,9/30/79,,,,0,-
EH-0338-76,O,John,F.,Andrews,,Folger Shakespeare Library,Washington DC 20003,Washington,DC,20003,USA,1975-08,1976,Three Year Plan for Development of Folger Institute of Renaissance and 18th Century Studies,European History; British Literature; Renaissance Studies,Institutes for College and University Teachers,Education Programs,"$115,424.00",$0.00,"$115,424.00",$0.00,"$115,424.00",7/1/76,8/31/79,,"To support a program of interdisciplinary seminars, workshops, lectures, symposia and colloquia designed to provide a stimulus for advanced scholar- ship. Proj. Director",,0,-
E0-1387-79,O,John,F.,Andrews,,Folger Shakespeare Library,Washington DC 20003,Washington,DC,20003,USA,1979-05,1979,Third Stage Development of Folger Insti- tute of Renaissance & 18th Cent. Studies,British Literature; Theater History and Criticism,Humanities Institutes Program,Education Programs,"$334,452.00",$0.00,"$334,452.00",$0.00,"$334,452.00",7/1/79,6/30/84,,Two four-week institutes on study of Shakespeare in performance; public lecture series. Proj. Director,,0,-
FB-0002-79,I,William,L.,Andrews,,Unknown,,,,,,1978-11,1979,"Fellowship, English",Humanities,Fellowships for College Teachers and Independent Scholars,Research Programs,"$16,552.00",$0.00,"$16,552.00",$0.00,"$16,552.00",1/16/80,1/15/81,,,,0,-
GY-0493-79,O,Thomas,T.,Ankersen,,University of South Florida,Tampa FL 33620,Tampa,FL,33620,USA,1979-02,1979,ORAL HISTORY OF THE ENVIRONMENTAL MOVEMENT IN THE STATE OF FLORIDA,Humanities,Younger Scholars - 02/76 thru 02/85,Public Programs,"$2,727.91",$0.00,"$2,727.91",$0.00,"$2,727.91",6/1/79,8/31/79,,An oral history of the environmental movement in Florida from 1960 through 1979.,,0,-
FT-0006-79,I,Carol,L.,Anschuetz,,Unknown,,,,,,1979-02,1979,"Fellowship, Slavic Literature",Humanities,Summer Stipends,Research Programs,"$2,500.00",$0.00,"$2,500.00",$0.00,"$2,500.00",5/1/79,9/30/79,,,,0,-
GL-0365-79,O,Bolton,,Anthony,,Cumberland County Public Library,Fayetteville NC 28302,Fayetteville,NC,28302,USA,1979-02,1979,"Planning for ""History of Western Civilization"" Series","History, General","Libraries and Archives, Humanities Projects in",Public Programs,"$20,362.00",$0.00,"$20,362.00",$0.00,"$20,362.00",4/1/79,2/29/80,,To plan for a series of six public humanities programs designed to examine the development of Western Civilization.,,0,-
